CD_REFNIS,tx_descr_nl,tx_descr_fr,TX_FST_NAME,MS_FREQUENCY,YEAR,GENDER
11001,Aartselaar,Aartselaar,Maria,370,2009,F
11001,Aartselaar,Aartselaar,Rita,114,2009,F
11001,Aartselaar,Aartselaar,Ann,80,2009,F
11001,Aartselaar,Aartselaar,Marie,69,2009,F
11001,Aartselaar,Aartselaar,Monique,68,2009,F
11001,Aartselaar,Aartselaar,Anna,66,2009,F
11001,Aartselaar,Aartselaar,Ingrid,62,2009,F
11001,Aartselaar,Aartselaar,Christiane,59,2009,F
11001,Aartselaar,Aartselaar,Nicole,58,2009,F
11001,Aartselaar,Aartselaar,Joanna,56,2009,F
11001,Aartselaar,Aartselaar,Martine,56,2009,F
11001,Aartselaar,Aartselaar,Nancy,51,2009,F
11001,Aartselaar,Aartselaar,Liliane,49,2009,F
11001,Aartselaar,Aartselaar,Godelieve,47,2009,F
11001,Aartselaar,Aartselaar,Linda,47,2009,F
11001,Aartselaar,Aartselaar,Elisabeth,45,2009,F
11001,Aartselaar,Aartselaar,Hilde,44,2009,F
11001,Aartselaar,Aartselaar,Paula,44,2009,F
11001,Aartselaar,Aartselaar,Anita,42,2009,F
11001,Aartselaar,Aartselaar,Ellen,42,2009,F
11001,Aartselaar,Aartselaar,Nathalie,40,2009,F
11001,Aartselaar,Aartselaar,Els,39,2009,F
11001,Aartselaar,Aartselaar,Karin,39,2009,F
11001,Aartselaar,Aartselaar,Sofie,39,2009,F
11001,Aartselaar,Aartselaar,Sandra,38,2009,F
11001,Aartselaar,Aartselaar,Julie,37,2009,F
11001,Aartselaar,Aartselaar,Ilse,36,2009,F
11001,Aartselaar,Aartselaar,Jeannine,35,2009,F
11001,Aartselaar,Aartselaar,Greta,34,2009,F
11001,Aartselaar,Aartselaar,Kim,34,2009,F
11001,Aartselaar,Aartselaar,Christel,33,2009,F
11001,Aartselaar,Aartselaar,Gerda,33,2009,F
11001,Aartselaar,Aartselaar,Marleen,33,2009,F
11001,Aartselaar,Aartselaar,Vera,33,2009,F
11001,Aartselaar,Aartselaar,Lisette,32,2009,F
11001,Aartselaar,Aartselaar,Sarah,32,2009,F
11001,Aartselaar,Aartselaar,Simonne,32,2009,F
11001,Aartselaar,Aartselaar,Agnes,31,2009,F
11001,Aartselaar,Aartselaar,Inge,31,2009,F
